Дата проведения,Название выставки,Клуб-организатор
22-23 октября 2022г.,«КОТОШЕСТВИЕ»,КЛК Параллель;
12-13 июня 2022г.,«ЛЕТО - 2022»,Самарис;
23 октября 2021г.,«КЭТ-САЛОН-ОКТЯБРЬ»,КЛК Москва;
9-10 октября 2021г.,«РОСКОШНАЯ ОСЕНЬ»,КЛК РосКош;
2-3 октября 2021г.,«ОСЕННИЙ ВЕРНИСАЖ-2021»,УРОФО Грация;
2-3 октября 2021г.,«КОТОМИР ШОУ»,НП КЛК Котомир;
25 сентября 2021г.,«ВЛАДИМИРСКАЯ ОСЕНЬ!»,КЛК Мономах;
25-26 сентября 2021г.,«ПАРАЛЛЕЛЬ»,КЛК «Параллель»;
25-26 сентября 2021г.,«ЗВЁЗДНЫЕ КОШКИ-2021»,ФПЦ Зоомир;
18-19 сентября 2021г.,«КЭТ-САЛОН-СЕНТЯБРЬ»,КЛК Москва;
18 сентября 2021г.,«КОНФЕТТИ»,КЛК Конфетти;
11-12 сентября 2021г.,«ЗОЛОТАЯ ОСЕНЬ НА ОРБИТЕ»,ФЦ КЛК Орбита;
11-12 сентября 2021г.,«DENNIS»,КЛК Dennis;
11-12 сентября 2021г.,«КОТ УЧЁНЫЙ»,Клуб ФРЕЯ;
11-12 сентября 2021г.,«ДИАМАНТ-КРИСТАЛЛ»,"Клуб любителей кошек ""ДИАМАНТ-КРИСТАЛЛ"";"
4-5 сентября 2021г.,«КЭТ-ПАРАД - XII»,АМУЛЕТ-КЭТ;
4-5 сентября 2021г.,«ЮБИЛЕЙ В КРУГУ ДРУЗЕЙ»,КЛК ЮнионКэтс;
4-5 сентября 2021г.,«МИСТЕР КОТ»,МОКЛК Валенсия;
18 июля 2021г.,«СЕРЕДИНА ЛЕТА 2021»,КЛК Лигра;
17 июля 2021г.,«ЛЕТО АНАПЫ - 2020»,КЛК Ирбис;
17 июля 2021г.,«КОТОМУР»,КЛК КотоМур;
17-18 июля 2021г.,«БЕЛАЯ ЛИСА+ФАВОРИТ ЛАЙН»,"КЛК Белая Лиса, Фаворит Лайн;"
10-11 июля 2021г.,«DENNIS»,КЛК Dennis;
10-11 июля 2021г.,«КОШАРИКИ ШОУ»,"МОКЛК ""Валенсия"";"
3-4 июля 2021г.,«КУБОК УРАЛА-2021»,УРОФО Грация;
